,STUDENT_NUM,STUDY_PROGRAM,MAIN_STUDY_PROGRAM,ACADEMIC_YEAR,START_DATE,END_DATE,ENROLLMENT_TYPE,EXAM_TYPE,FULL_TIME_PART,PROGRAM_ACTIVE_CODE,DATE_ACTIVE_CODE_MODIFIED,DATE_WITHRAWAL_PRE-REGIS,WITHDRAWAL_REASON,HIGHER_EDU_REGISTER,DATE_REGIS_PROOF,DATE_ENROLLMENT_REQUEST,LOTTERY_FORM,DECENTRALIZED_RESULT_SELECTION,DECENTRALIZED_SELECTION_FOLLOWUP,LOTTERY_RESULT,LOTTERY_STATUS,DATE_REQUEST_STOP,FINANCING,DATE_FIRST_ENROL_REQUEST,STUDY_CHECK_PARTICIPATION,DATE_STUDY_CHECK,STUDY_CHECK_RESULT,STUDY_CHECK_ADMISSION,EXAM_ADMINISTERED,DATE_EXAM_STARTED,EXAM_PROG_DETAILS,DATE_EXAM_CONDUCTED,EXAM_FINAL_RESULT,EXAM_GRADE,HONORS_PROG_PARTICIPATION,PRIOR_EDUCATION,PRIOR_SCHOOL_NAME,PRIOR_FINAL_EXAM_DATE,PRIOR_DIMPLOMA_OBTAINTION,PRIOR_EXTENSION_CODE,PRIOR_SPECIALITY,PRIOR_VERIFICATION_STATUS,PRIOR_VERIFICATION_DATE,BIRTH_DATE,GENDER,NATIONALITY,YEAR_STARTED_HU,PRIOR_QUALIFICATION_TYPE,INFO_CURRENT
0,1699140,BJDE,BJDE,2016,2016-09-01 00:00:00.0000000,2017-08-31 00:00:00.0000000,S,D,V,4,2016-08-27 00:00:00.0000000,,,34092,2016-08-29 00:00:00.0000000,2016-03-01 00:00:00.0000000,C,S,295.0,I,V,,J,2016-03-01 00:00:00.0000000,NVT,,,,D,2016-09-01,JDE-DV-16,2017-12-20,---,N,N,379,Gereformeerde Scholengemeenschap Randstad Gymnasium Atheneum HAVO VMBO,2016-06-16,J,,,GD,2016-06-16,1999-10-08,V,NL,2016,HAVO,J
1,1699140,BJDE,BJDE,2016,2016-09-01 00:00:00.0000000,2017-08-31 00:00:00.0000000,S,D,V,4,2016-08-27 00:00:00.0000000,,,34092,2016-08-29 00:00:00.0000000,2016-03-01 00:00:00.0000000,C,S,295.0,I,V,,J,2016-03-01 00:00:00.0000000,NVT,,,,D,2016-09-01,JDE-DV-16,2017-12-20,---,N,N,591,Hogeschool Utrecht,2022-02-01,J,34092.0,B Communication and Multimedia Design,GD,2022-02-01,1999-10-08,V,NL,2016,HBO,J
2,1699140,BJDE,BJDE,2016,2016-09-01 00:00:00.0000000,2017-08-31 00:00:00.0000000,S,D,V,4,2016-08-27 00:00:00.0000000,,,34092,2016-08-29 00:00:00.0000000,2016-03-01 00:00:00.0000000,C,S,295.0,I,V,,J,2016-03-01 00:00:00.0000000,NVT,,,,D,2016-09-01,JDE-DV-16,2017-12-20,---,N,N,611,Hogeschool Utrecht,2017-12-20,J,34092.0,B Communication and Multimedia Design,GD,2017-12-20,1999-10-08,V,NL,2016,HBO,J
3,1699140,BJDE,BJDE,2016,2016-09-01 00:00:00.0000000,2017-08-31 00:00:00.0000000,S,D,V,4,2016-08-27 00:00:00.0000000,,,34092,2016-08-29 00:00:00.0000000,2016-03-01 00:00:00.0000000,C,S,295.0,I,V,,J,2016-03-01 00:00:00.0000000,NVT,,,,B,2017-09-01,JDE-BV-17,2022-02-01,---,J,N,379,Gereformeerde Scholengemeenschap Randstad Gymnasium Atheneum HAVO VMBO,2016-06-16,J,,,GD,2016-06-16,1999-10-08,V,NL,2016,HAVO,J
4,1699140,BJDE,BJDE,2016,2016-09-01 00:00:00.0000000,2017-08-31 00:00:00.0000000,S,D,V,4,2016-08-27 00:00:00.0000000,,,34092,2016-08-29 00:00:00.0000000,2016-03-01 00:00:00.0000000,C,S,295.0,I,V,,J,2016-03-01 00:00:00.0000000,NVT,,,,B,2017-09-01,JDE-BV-17,2022-02-01,---,J,N,591,Hogeschool Utrecht,2022-02-01,J,34092.0,B Communication and Multimedia Design,GD,2022-02-01,1999-10-08,V,NL,2016,HBO,J
5,1699140,BJDE,BJDE,2016,2016-09-01 00:00:00.0000000,2017-08-31 00:00:00.0000000,S,D,V,4,2016-08-27 00:00:00.0000000,,,34092,2016-08-29 00:00:00.0000000,2016-03-01 00:00:00.0000000,C,S,295.0,I,V,,J,2016-03-01 00:00:00.0000000,NVT,,,,B,2017-09-01,JDE-BV-17,2022-02-01,---,J,N,611,Hogeschool Utrecht,2017-12-20,J,34092.0,B Communication and Multimedia Design,GD,2017-12-20,1999-10-08,V,NL,2016,HBO,J
6,1699140,BJDE,BJDE,2017,2017-09-01 00:00:00.0000000,2017-12-20 00:00:00.0000000,S,D,V,4,2017-08-10 12:17:45.0000000,,PROP_EXAM,34092,2017-08-14 00:00:00.0000000,2017-07-29 00:00:00.0000000,N,,,,,,J,,NVT,,,,D,2016-09-01,JDE-DV-16,2017-12-20,---,N,N,379,Gereformeerde Scholengemeenschap Randstad Gymnasium Atheneum HAVO VMBO,2016-06-16,J,,,GD,2016-06-16,1999-10-08,V,NL,2016,HAVO,J
7,1699140,BJDE,BJDE,2017,2017-09-01 00:00:00.0000000,2017-12-20 00:00:00.0000000,S,D,V,4,2017-08-10 12:17:45.0000000,,PROP_EXAM,34092,2017-08-14 00:00:00.0000000,2017-07-29 00:00:00.0000000,N,,,,,,J,,NVT,,,,D,2016-09-01,JDE-DV-16,2017-12-20,---,N,N,591,Hogeschool Utrecht,2022-02-01,J,34092.0,B Communication and Multimedia Design,GD,2022-02-01,1999-10-08,V,NL,2016,HBO,J
8,1699140,BJDE,BJDE,2017,2017-09-01 00:00:00.0000000,2017-12-20 00:00:00.0000000,S,D,V,4,2017-08-10 12:17:45.0000000,,PROP_EXAM,34092,2017-08-14 00:00:00.0000000,2017-07-29 00:00:00.0000000,N,,,,,,J,,NVT,,,,D,2016-09-01,JDE-DV-16,2017-12-20,---,N,N,611,Hogeschool Utrecht,2017-12-20,J,34092.0,B Communication and Multimedia Design,GD,2017-12-20,1999-10-08,V,NL,2016,HBO,J
9,1699140,BJDE,BJDE,2017,2017-09-01 00:00:00.0000000,2017-12-20 00:00:00.0000000,S,D,V,4,2017-08-10 12:17:45.0000000,,PROP_EXAM,34092,2017-08-14 00:00:00.0000000,2017-07-29 00:00:00.0000000,N,,,,,,J,,NVT,,,,B,2017-09-01,JDE-BV-17,2022-02-01,---,J,N,379,Gereformeerde Scholengemeenschap Randstad Gymnasium Atheneum HAVO VMBO,2016-06-16,J,,,GD,2016-06-16,1999-10-08,V,NL,2016,HAVO,J
